ISOURBID,ISO3,URBID,NAME,SCHNM,ES90POP,ES95POP,ES00POP,SQKM_FINAL,URB_D_MEAN,BUF_D_MEAN,D_T_DIFF,URB_N_MEAN,BUF_N_MEAN,N_T_DIFF,LATITUDE,LONGITUDE
BRA63739,BRA,63739,Rio de Janeiro,RIODEJANEIRO,9817559,10466873,11209092,4783.23,40.87,36.00,4.87,23.33,21.42,1.91,-22.75866384,-43.27704741
BRA63815,BRA,63815,Socorro,SOCORRO,16606,18665,20980,59.46,39.35,37.19,2.16,18.12,18.13,-0.01,-22.58361393,-46.52239409
BRA63820,BRA,63820,Serra Negra,SERRANEGRA,17109,18779,20612,71.34,37.56,37.57,-0.01,18.28,18.09,0.19,-22.60513252,-46.69667181
BRA63832,BRA,63832,Assis,ASSIS,89862,98297,107557,246.37,41.09,40.76,0.33,19.80,19.38,0.42,-22.68119471,-50.39530263
BRA63841,BRA,63841,Piracicaba,PIRACICABA,219204,241003,264970,303.31,43.14,41.37,1.77,18.71,17.97,0.74,-22.72280912,-47.6331103
BRA63861,BRA,63861,Campos do Jord?o,CAMPOSDOJORDAO,36014,39721,43809,121.16,30.31,31.51,-1.20,14.65,16.97,-2.32,-22.72812806,-45.57595798
BRA63867,BRA,63867,S?o Manuel,SAOMANUEL,24628,27858,31512,102.15,40.12,40.51,-0.39,19.53,19.53,0.00,-22.73406855,-48.56864196
BRA63896,BRA,63896,Rio das Pedras,RIODASPEDRAS,16182,18848,21954,34.02,44.24,42.76,1.48,15.78,16.91,-1.13,-22.83968906,-47.59913337
BRA63898,BRA,63898,Botucatu,BOTUCATU,80018,88614,98133,189.84,43.07,39.43,3.63,18.96,18.75,0.20,-22.88699542,-48.44243543
BRA63906,BRA,63906,Santa Cruz do Rio Pardo,SANTACRUZDORIOPARDO,28152,31192,34561,123.39,42.45,40.78,1.67,20.14,20.07,0.07,-22.89496812,-49.61432249
BRA63917,BRA,63917,Ourinhos,OURINHOS,68890,78467,89376,356.42,42.03,39.87,2.17,20.72,20.21,0.51,-23.00237575,-49.78534484
BRA63918,BRA,63918,Bragan?a Paulista,BRAGANCAPAULISTA,159041,181858,207965,397.37,39.57,37.16,2.41,18.62,17.65,0.98,-23.05307357,-46.55498346
BRA63924,BRA,63924,Cunhambebe,CUNHAMBEBE,50414,61515,76167,263.87,34.55,31.81,2.74,23.74,21.73,2.01,-22.98930579,-44.34965664
BRA63932,BRA,63932,Capivari,CAPIVARI,28371,30822,33484,96.42,43.73,43.30,0.43,18.94,17.42,1.52,-22.99557085,-47.49440425
BRA63935,BRA,63935,Itatiba,ITATIBA,52901,59055,65925,75.08,39.89,37.40,2.48,18.18,17.80,0.37,-23.00234465,-46.82785599
BRA63950,BRA,63950,CambarÂ ,CAMBARA,16139,17976,20022,54.52,41.89,40.52,1.37,19.71,20.17,-0.46,-23.03632427,-50.06685291
BRA63957,BRA,63957,Paranavai,PARANAVAI,60346,63234,66259,127.17,42.90,42.64,0.26,21.87,21.16,0.71,-23.08085505,-52.44407861
BRA63958,BRA,63958,Avar?,AVARE,54711,62931,72387,258.23,38.32,38.30,0.02,19.02,19.06,-0.03,-23.10725095,-48.96049208
BRA63959,BRA,63959,Indaiatuba,INDAIATUBA,87323,112424,144740,156.37,42.51,41.89,0.62,20.08,19.48,0.60,-23.09764919,-47.20135209
BRA64826,BRA,64826,S?o Miguel d'Oeste,SAOMIGUELDOESTE,23535,25390,27392,78.22,39.92,39.79,0.13,19.26,19.73,-0.47,-26.72908089,-53.51283188
BRA65482,BRA,65482,Caxias do Sul,CAXIASDOSUL,285907,325843,371414,381.60,36.28,34.12,2.16,17.96,18.55,-0.59,-29.17317073,-51.2085101
BRA65544,BRA,65544,Lajeado,LAJEADO,61138,70580,81552,201.10,40.00,38.43,1.57,21.16,20.62,0.54,-29.45695708,-51.95641503
BRA65604,BRA,65604,Santa Cruz do Sul,SANTACRUZDOSUL,72577,81582,91705,239.36,40.10,38.89,1.21,21.36,21.09,0.27,-29.72159312,-52.43218294